passage_id,cn,vn,en
H1_2_1,你好,Xin chào,Hello
H1_2_2,大家好,Chào mọi người,Hello everyone
H1_2_3,您好,"Chào ngài(ông, bà)",Hello (polite)
H1_2_4,早上好,Chào buổi sáng,Good morning
H1_2_5,早安,Buổi sáng an lành,Good morning
H1_2_6,再见,Tạm biệt,Goodbye
H1_2_7,拜拜,Bye,Bye bye
H1_2_8,不客气,Không có chi,You're welcome
H1_2_9,没关系,Không sao đâu,It's okay / No problem
H1_2_10,谢谢,Cảm ơn,Thank you
H1_2_11,对不起,Xin lỗi,Sorry
H1_3_1,你叫什么名字,Bạn tên là gì?,What is your name?
H1_3_2,你姓什么,Bạn họ gì?,What is your surname?
H1_3_3,我姓。我叫。,Tôi họ... Tôi tên là...,My surname is. My name is.
H1_3_4,我不是老师，我是学生。,"Tôi không phải là giáo viên, tôi là học sinh.","I am not a teacher, I am a student."
H1_3_5,你是老师吗？,Bạn là giáo viên phải không?,Are you a teacher?
H1_3_6,我是越南人。,Tôi là người Việt Nam.,I am Vietnamese.
H1_3_7,你是中国人吗？,Bạn là người Trung Quốc phải không?,Are you Chinese?
H1_3_8,你是哪国人？,Bạn là người nước nào?,What is your nationality?
H1_3_9,你是学生吗？,Bạn là học sinh phải không?,Are you a student?
H1_3_10,我不是中国人。,Tôi không phải người Trung Quốc.,I am not Chinese.
H1_4_1,他是谁？,Anh ta là ai?,Who is he?
H1_4_2,他叫什么名字？,Anh ấy tên là gì?,What is his name?
H1_4_3,她是我妈妈。,Cô ấy là mẹ tôi.,She is my mother.
H1_4_4,她是中国人，她是我的汉语老师,"Cô ấy là người Trung Quốc, cô ấy là giáo viên tiếng Trung của tôi","She is Chinese, she is my Chinese teacher."
H1_4_5,他叫大卫，是我的中国朋友,"Anh ấy tên là David, anh ấy là bạn Trung Quốc của tôi","His name is David, he is my Chinese friend."
H1_4_6,她是哪国人？,Cô ấy là người nước nào?,What is her nationality?
H1_4_7,他是美国人，他是我同学。,"Anh ấy là người Mỹ, anh ấy là bạn học của tôi.","He is American, he is my classmate."
H1_4_8,他不是我同学，他是我的好朋友。,"Anh ấy không phải bạn học của tôi, anh ấy là bạn tốt của tôi.","He is not my classmate, he is my good friend."
H1_4_9,他是我的美国朋友。他学汉语。,Anh ấy là bạn người Mỹ của tôi. Anh ấy học tiếng Trung.,He is my American friend. He studies Chinese.
H1_4_10,你好，怎么称呼？,"Xin chào, phải xưng hô như thế nào (tên bạn là gì )?","Hello, how should I address you?"
H1_4_11,他不是我同学，他是我的中国朋友。,"Anh ấy không phải bạn học của tôi, anh ấy là bạn Trung Quốc của tôi.","He is not my classmate, he is my Chinese friend."
H1_4_12,她叫玛丽，她不是我同学，她是我朋友。,"Cô ấy tên là Mary, cô ấy không phải là bạn cùng lớp của tôi, cô ấy là bạn của tôi.","Her name is Mary, she is not my classmate, she is my friend."
H1_5_1,我家有四口人。,Nhà tôi có bốn người.,There are four people in my family.
H1_5_2,你家有几口人？,Nhà bạn có mấy người?,How many people are in your family?
H1_5_3,我家有三口人。我，我妈妈，我女儿。,"Nhà tôi có ba người. Tôi, mẹ tôi, con gái tôi.","There are three people in my family. Me, my mom, my daughter."
H1_5_4,你女儿几岁了？,Con gái bạn là mấy tuổi?,How old is your daughter?
H1_5_5,我女儿今年二十六岁了，她是老师。,"Con gái tôi năm nay hai mươi sáu tuổi rồi, cố ấy là giáo viên.","My daughter is 26 years old this year, she is a teacher."
H1_5_6,你今年多大？,Bạn năm nay bao nhiêu tuổi?,How old are you this year?
H1_5_7,我今年十八岁了。,Tôi năm nay mười tám tuổi rồi.,I am 18 years old this year.
H1_5_8,他是你朋友吗？今年多大了？,Anh ấy là bạn của cậu phải không? Năm nay bao nhiêu tuổi rồi?,Is he your friend? How old is he this year?
H1_5_9,我朋友今年三十岁了。,Bạn tôi năm nay ba mươi tuổi rồi.,My friend is 30 years old this year.
H1_5_10,你妈妈今年多大？,Mẹ bạn năm nay bao nhiêu tuổi?,How old is your mother this year?
H1_5_11,我妈妈今年五十六岁了。,Mẹ tôi năm nay năm mươi sáu tuổi rồi.,My mother is 56 years old this year.
H1_6_1,我会说中文一点点儿。,Tôi biết nói tiếng Trung một chút.,I can speak a little bit of Chinese.
H1_6_2,你会说中文吗？,Bạn biết nói tiếng Trung không?,Can you speak Chinese?
H1_6_3,你妈妈会做中国菜吗？,Mẹ bạn biết nấu món ăn Trung Quốc không?,Can your mother cook Chinese food?
H1_6_4,我的中国朋友会做中国菜。,Người bạn Trung Quốc của tôi biết nấu đồ ăn Trung Quốc.,My Chinese friend can cook Chinese food.
H1_6_5,你们家谁会说汉语。,Nhà bạn ai biết nói tiếng Trung?,Who in your family can speak Chinese?
